"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
6,320;-0,01;0,00;0,03
6,330;-0,01;0,00;-0,37
6,340;-0,01;-0,01;-0,56
6,350;-0,01;-0,01;-0,20
6,360;-0,01;-0,01;0,47
6,370;-0,01;-7,17E-4;0,66
6,380;-0,01;0,01;0,21
6,390;-0,01;0,00;-0,12
6,400;-0,01;0,00;0,16
6,410;-0,01;0,00;0,59
6,420;-0,01;0,02;0,42
6,430;-0,01;0,02;-0,05
6,440;-0,01;0,01;-0,03
6,450;-0,01;0,01;0,34
6,460;-0,01;0,02;0,27
6,470;-0,01;0,02;-0,15
6,480;-0,01;0,01;-0,08
6,490;-0,01;0,01;0,38
6,500;-0,01;0,03;0,46
6,510;-0,01;0,03;0,11
6,520;-0,01;0,02;-0,05
6,530;-0,01;0,03;-0,03
6,540;-0,01;0,03;-0,23
6,550;-0,01;0,02;-0,30
6,560;-0,01;0,01;-0,09
6,570;-0,01;0,02;-0,16
6,580;-0,01;0,02;-0,58
6,590;-0,01;0,00;-0,57
6,600;-0,01;-9,67E-4;0,05
6,610;-0,01;0,01;0,14
6,620;-0,01;0,02;-0,95
6,630;-0,01;-0,01;-1,71
6,640;-0,01;-0,04;-0,77
6,650;-0,01;-0,03;1,11
6,660;-0,01;0,00;1,71
6,670;-0,01;0,02;0,16
6,680;-0,01;0,01;-1,85
6,690;-0,01;-0,03;-2,70
6,700;-0,01;-0,06;-1,88
6,710;-0,01;-0,08;0,05
6,720;-0,01;-0,06;1,88
6,730;-0,01;-0,03;2,35
6,740;-0,01;0,00;1,09
6,750;-0,01;0,00;-0,57
6,760;-0,01;-0,02;-1,22
6,770;-0,01;-0,03;-0,94
6,780;-0,01;-0,04;-0,58
6,790;-0,01;-0,04;-0,53
6,800;-0,01;-0,05;-0,54
6,810;-0,01;-0,05;-0,37
6,820;-0,01;-0,06;0,01
6,830;-0,01;-0,06;0,46
6,840;-0,02;-0,05;0,71
6,850;-0,02;-0,04;0,76
6,860;-0,02;-0,03;0,77
6,870;-0,02;-0,02;0,70
6,880;-0,02;-0,01;0,33
6,890;-0,02;-0,01;-0,23
6,900;-0,02;-0,02;-0,34
6,910;-0,02;-0,03;0,32
6,920;-0,02;-0,02;1,15
6,930;-0,02;0,00;1,16
6,940;-0,02;0,02;0,37
