"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
6,640;-0,06;-0,51;2,01
6,650;-0,06;-0,49;2,85
6,660;-0,07;-0,45;3,24
6,670;-0,07;-0,41;2,88
6,680;-0,08;-0,39;2,05
6,690;-0,08;-0,37;2,18
6,700;-0,09;-0,37;3,37
6,710;-0,09;-0,31;3,95
6,720;-0,09;-0,26;3,62
6,730;-0,09;-0,24;2,98
6,740;-0,10;-0,21;4,39
6,750;-0,10;-0,18;6,25
6,760;-0,10;-0,06;6,64
6,770;-0,10;-0,02;5,05
6,780;-0,10;0,03;2,72
6,790;-0,10;0,04;2,59
6,800;-0,10;0,05;4,06
6,810;-0,10;0,12;5,88
6,820;-0,10;0,19;5,04
6,830;-0,09;0,25;2,05
6,840;-0,09;0,22;1,07
6,850;-0,09;0,21;2,96
6,860;-0,09;0,29;5,35
6,870;-0,08;0,36;5,35
6,880;-0,08;0,40;3,56
6,890;-0,08;0,43;2,13
6,900;-0,07;0,43;1,42
6,910;-0,07;0,45;2,18
6,920;-0,06;0,46;3,80
6,930;-0,06;0,53;4,07
6,940;-0,05;0,58;2,46
6,950;-0,05;0,57;0,51
6,960;-0,04;0,57;-0,06
6,970;-0,03;0,57;0,20
6,980;-0,03;0,58;0,16
6,990;-0,02;0,58;-0,04
7,000;-0,02;0,57;-0,09
7,010;-0,01;0,57;-0,09
7,020;-0,01;0,57;-0,17
7,030;-3,36E-4;0,57;-0,40
7,040;0,01;0,56;-0,68
7,050;0,01;0,56;-1,05
7,060;0,02;0,55;-1,53
7,070;0,02;0,53;-1,94
7,080;0,03;0,50;-2,09
7,090;0,03;0,48;-2,12
7,100;0,04;0,46;-2,35
7,110;0,04;0,44;-2,69
7,120;0,05;0,41;-2,90
7,130;0,05;0,38;-2,94
7,140;0,05;0,35;-3,07
7,150;0,06;0,32;-3,36
7,160;0,06;0,28;-3,57
7,170;0,06;0,24;-3,62
7,180;0,06;0,21;-3,65
7,190;0,07;0,17;-3,84
7,200;0,07;0,13;-4,06
7,210;0,07;0,09;-4,07
7,220;0,07;0,05;-3,96
7,230;0,07;0,01;-3,95
7,240;0,07;-0,03;-4,11
7,250;0,07;-0,07;-4,18
7,260;0,07;-0,11;-4,00
7,270;0,07;-0,15;-3,74
7,280;0,07;-0,19;-3,64
7,290;0,06;-0,22;-3,65
7,300;0,06;-0,26;-3,57
7,310;0,06;-0,30;-3,33
7,320;0,06;-0,33;-3,12
7,330;0,05;-0,36;-3,03
7,340;0,05;-0,39;-2,94
7,350;0,04;-0,42;-2,76
7,360;0,04;-0,44;-2,47
7,370;0,04;-0,47;-2,23
7,380;0,03;-0,49;-1,99
7,390;0,03;-0,51;-1,71
7,400;0,02;-0,52;-1,41
7,410;0,01;-0,53;-1,16
7,420;0,01;-0,54;-1,02
7,430;0,00;-0,55;-0,93
