"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
7,420;0,42;-0,32
7,430;0,41;-0,35
7,440;0,41;-0,37
7,450;0,41;-0,39
7,460;0,40;-0,41
7,470;0,40;-0,42
7,480;0,39;-0,44
7,490;0,39;-0,45
7,500;0,38;-0,47
7,510;0,38;-0,48
7,520;0,37;-0,48
7,530;0,37;-0,49
7,540;0,36;-0,49
7,550;0,36;-0,48
7,560;0,36;-0,47
7,570;0,35;-0,46
7,580;0,35;-0,45
7,590;0,34;-0,44
7,600;0,34;-0,42
7,610;0,33;-0,40
7,620;0,33;-0,38
7,630;0,33;-0,36
7,640;0,32;-0,33
7,650;0,32;-0,30
7,660;0,32;-0,27
7,670;0,31;-0,24
7,680;0,31;-0,20
7,690;0,31;-0,17
7,700;0,31;-0,13
7,710;0,31;-0,10
7,720;0,31;-0,06
7,730;0,31;-0,03
7,740;0,31;0,01
7,750;0,31;0,05
7,760;0,31;0,09
7,770;0,31;0,12
7,780;0,31;0,16
7,790;0,31;0,19
7,800;0,31;0,23
7,810;0,32;0,26
7,820;0,32;0,29
7,830;0,32;0,32
7,840;0,32;0,34
7,850;0,33;0,37
7,860;0,33;0,40
7,870;0,34;0,42
7,880;0,34;0,43
7,890;0,34;0,45
7,900;0,35;0,50
7,910;0,35;0,54
7,920;0,36;0,55
7,930;0,37;0,64
7,940;0,37;0,74
7,950;0,38;0,74
7,960;0,39;0,56
7,970;0,39;0,37
7,980;0,39;0,30
7,990;0,40;0,28
8,000;0,40;0,31
8,010;0,40;0,34
8,020;0,41;0,37
8,030;0,41;0,34
8,040;0,41;0,31
8,050;0,42;0,28
8,060;0,42;0,25
8,070;0,42;0,22
8,080;0,42;0,19
8,090;0,43;0,16
8,100;0,43;0,14
8,110;0,43;0,11
8,120;0,43;0,08
8,130;0,43;0,04
8,140;0,43;0,00
8,150;0,43;-0,03
8,160;0,43;-0,06
8,170;0,43;-0,10
8,180;0,43;-0,13
8,190;0,43;-0,17
8,200;0,42;-0,20
8,210;0,42;-0,23
8,220;0,42;-0,26
8,230;0,42;-0,30
8,240;0,41;-0,32
8,250;0,41;-0,34
8,260;0,41;-0,36
8,270;0,40;-0,38
8,280;0,40;-0,40
8,290;0,40;-0,41
8,300;0,39;-0,43
8,310;0,39;-0,45
8,320;0,38;-0,47
8,330;0,38;-0,49
8,340;0,37;-0,48
8,350;0,37;-0,48
8,360;0,36;-0,47
8,370;0,36;-0,47
8,380;0,35;-0,46
8,390;0,35;-0,45
8,400;0,34;-0,43
8,410;0,34;-0,42
8,420;0,34;-0,40
8,430;0,33;-0,38
8,440;0,33;-0,36
8,450;0,33;-0,34
8,460;0,32;-0,31
8,470;0,32;-0,28
8,480;0,32;-0,25
8,490;0,31;-0,22
8,500;0,31;-0,18
8,510;0,31;-0,15
8,520;0,31;-0,11
8,530;0,31;-0,08
8,540;0,31;-0,04
8,550;0,31;0,00
8,560;0,31;0,03
8,570;0,31;0,07
8,580;0,31;0,10
8,590;0,31;0,13
8,600;0,31;0,17
8,610;0,31;0,20
8,620;0,32;0,24
8,630;0,32;0,26
8,640;0,32;0,29
8,650;0,32;0,32
8,660;0,33;0,35
8,670;0,33;0,37
8,680;0,33;0,39
8,690;0,34;0,41
8,700;0,34;0,42
8,710;0,35;0,43
8,720;0,35;0,45
8,730;0,36;0,45
8,740;0,36;0,46
8,750;0,37;0,46
8,760;0,37;0,46
8,770;0,37;0,46
8,780;0,38;0,45
8,790;0,38;0,44
8,800;0,39;0,43
8,810;0,39;0,41
8,820;0,40;0,40
8,830;0,40;0,38
8,840;0,40;0,36
8,850;0,41;0,34
8,860;0,41;0,32
8,870;0,41;0,30
8,880;0,42;0,27
8,890;0,42;0,24
8,900;0,42;0,23
8,910;0,42;0,29
8,920;0,43;0,88
8,930;0,43;0,80
8,940;0,47;0,09
8,950;0,43;-0,62
8,960;0,43;-0,67
8,970;0,43;-0,12
8,980;0,43;-0,11
8,990;0,43;-0,11
9,000;0,43;-0,14
9,010;0,42;-0,17
9,020;0,42;-0,21
9,030;0,42;-0,23
9,040;0,42;-0,26
9,050;0,42;-0,29
9,060;0,41;-0,32
9,070;0,41;-0,34
9,080;0,41;-0,36
9,090;0,40;-0,35
9,100;0,40;-0,33
9,110;0,40;-0,34
9,120;0,39;-0,37
9,130;0,39;-0,36
9,140;0,38;-0,33
9,150;0,38;-0,40
9,160;0,38;-0,53
9,170;0,37;-0,60
9,180;0,36;-0,55
9,190;0,36;-0,49
9,200;0,36;-0,49
9,210;0,35;-0,49
9,220;0,34;-0,47
9,230;0,34;-0,43
9,240;0,34;-0,39
9,250;0,33;-0,37
9,260;0,33;-0,34
9,270;0,33;-0,32
9,280;0,32;-0,29
9,290;0,32;-0,26
9,300;0,32;-0,24
9,310;0,32;-0,20
9,320;0,31;-0,17
9,330;0,31;-0,13
9,340;0,31;-0,10
9,350;0,31;-0,07
9,360;0,31;-0,03
9,370;0,31;-4,87E-4
9,380;0,31;0,04
9,390;0,31;0,07
9,400;0,31;0,10
9,410;0,31;0,14
9,420;0,31;0,17
9,430;0,32;0,21
9,440;0,32;0,24
9,450;0,32;0,26
9,460;0,32;0,29
9,470;0,33;0,32
9,480;0,33;0,34
9,490;0,33;0,36
9,500;0,34;0,38
9,510;0,34;0,40
9,520;0,34;0,41
9,530;0,35;0,43
9,540;0,35;0,44
9,550;0,36;0,44
9,560;0,36;0,45
9,570;0,37;0,45
9,580;0,37;0,45
9,590;0,38;0,45
9,600;0,38;0,44
9,610;0,38;0,43
9,620;0,39;0,42
9,630;0,39;0,40
9,640;0,40;0,38
9,650;0,40;0,37
9,660;0,40;0,35
9,670;0,41;0,33
9,680;0,41;0,31
9,690;0,41;0,28
9,700;0,42;0,25
9,710;0,42;0,22
9,720;0,42;0,19
9,730;0,42;0,16
9,740;0,42;0,13
9,750;0,43;0,10
9,760;0,43;0,06
9,770;0,43;0,03
9,780;0,43;0,00
9,790;0,43;-0,04
9,800;0,43;-0,07
9,810;0,42;-0,11
9,820;0,42;-0,14
9,830;0,42;-0,17
9,840;0,42;-0,21
9,850;0,42;-0,24
9,860;0,42;-0,27
9,870;0,41;-0,30
9,880;0,41;-0,32
9,890;0,41;-0,33
9,900;0,40;-0,35
9,910;0,40;-0,38
9,920;0,40;-0,39
9,930;0,39;-0,41
9,940;0,39;-0,42
9,950;0,38;-0,43
9,960;0,38;-0,44
9,970;0,37;-0,44
9,980;0,37;-0,45
9,990;0,36;-0,45
10,000;0,36;-0,44
10,010;0,36;-0,43
10,020;0,35;-0,42
10,030;0,35;-0,41
10,040;0,34;-0,40
10,050;0,34;-0,38
10,060;0,34;-0,36
10,070;0,33;-0,34
10,080;0,33;-0,32
10,090;0,33;-0,29
10,100;0,32;-0,26
10,110;0,32;-0,23
10,120;0,32;-0,17
10,130;0,32;-0,12
10,140;0,32;-0,09
10,150;0,32;-0,09
10,160;0,31;-0,08
10,170;0,31;-0,05
10,180;0,31;-0,01
10,190;0,31;0,03
10,200;0,31;0,06
10,210;0,31;0,09
10,220;0,32;0,12
10,230;0,32;0,14
10,240;0,32;0,16
10,250;0,32;0,17
10,260;0,32;0,17
10,270;0,32;0,19
10,280;0,33;0,24
10,290;0,33;0,30
10,300;0,33;0,34
10,310;0,34;0,36
10,320;0,34;0,37
10,330;0,34;0,39
10,340;0,35;0,40
10,350;0,35;0,41
10,360;0,35;0,42
10,370;0,36;0,43
10,380;0,36;0,43
10,390;0,37;0,44
10,400;0,37;0,44
10,410;0,38;0,44
10,420;0,38;0,43
10,430;0,39;0,41
10,440;0,39;0,39
10,450;0,39;0,37
10,460;0,40;0,36
10,470;0,40;0,35
10,480;0,40;0,33
10,490;0,41;0,31
10,500;0,41;0,29
10,510;0,41;0,26
10,520;0,42;0,23
10,530;0,42;0,20
10,540;0,42;0,18
10,550;0,42;0,14
10,560;0,42;0,11
10,570;0,42;0,08
10,580;0,42;0,05
10,590;0,42;0,02
10,600;0,42;-0,02
10,610;0,42;-0,05
10,620;0,42;-0,09
10,630;0,42;-0,12
10,640;0,42;-0,15
10,650;0,42;-0,18
10,660;0,42;-0,21
10,670;0,41;-0,23
10,680;0,41;-0,26
10,690;0,41;-0,29
10,700;0,41;-0,30
10,710;0,40;-0,32
10,720;0,40;-0,34
10,730;0,40;-0,36
10,740;0,39;-0,37
10,750;0,39;-0,39
10,760;0,39;-0,41
10,770;0,38;-0,42
10,780;0,38;-0,42
10,790;0,37;-0,42
10,800;0,37;-0,43
10,810;0,36;-0,42
10,820;0,36;-0,42
10,830;0,36;-0,41
10,840;0,35;-0,40
10,850;0,35;-0,39
10,860;0,34;-0,38
10,870;0,34;-0,36
10,880;0,34;-0,35
10,890;0,33;-0,33
10,900;0,33;-0,30
10,910;0,33;-0,28
10,920;0,32;-0,25
10,930;0,32;-0,23
10,940;0,32;-0,20
10,950;0,32;-0,17
10,960;0,32;-0,14
10,970;0,32;-0,11
10,980;0,31;-0,08
10,990;0,31;-0,05
11,000;0,31;-0,01
11,010;0,31;0,02
11,020;0,31;0,05
11,030;0,31;0,08
