"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
7,000;0,15;-0,26
7,010;0,15;-0,25
7,020;0,15;-0,29
7,030;0,14;-0,33
7,040;0,14;-0,37
7,050;0,14;-0,35
7,060;0,13;-0,28
7,070;0,13;-0,20
7,080;0,13;-0,14
7,090;0,13;-0,12
7,100;0,13;-0,11
7,110;0,13;-0,10
7,120;0,12;-0,08
7,130;0,12;-0,07
7,140;0,12;-0,05
7,150;0,12;-0,03
7,160;0,12;0,00
7,170;0,12;0,01
7,180;0,12;0,02
7,190;0,12;0,04
7,200;0,12;0,06
7,210;0,12;0,09
7,220;0,13;0,14
7,230;0,13;0,21
7,240;0,13;0,23
7,250;0,13;0,25
7,260;0,13;0,27
7,270;0,14;0,27
7,280;0,14;0,24
7,290;0,14;0,20
7,300;0,14;0,21
7,310;0,15;0,23
7,320;0,15;0,18
7,330;0,15;0,14
7,340;0,15;0,15
7,350;0,15;0,22
7,360;0,16;0,29
7,370;0,16;0,29
7,380;0,16;0,25
7,390;0,16;0,20
7,400;0,16;0,20
7,410;0,17;0,26
7,420;0,17;0,32
7,430;0,17;0,33
7,440;0,18;0,34
7,450;0,18;0,34
7,460;0,18;0,34
7,470;0,19;0,34
7,480;0,19;0,34
7,490;0,19;0,34
7,500;0,20;0,34
7,510;0,20;0,34
7,520;0,20;0,34
7,530;0,21;0,33
7,540;0,21;0,33
7,550;0,21;0,32
7,560;0,22;0,32
7,570;0,22;0,31
7,580;0,22;0,30
7,590;0,23;0,30
7,600;0,23;0,28
7,610;0,23;0,27
7,620;0,24;0,26
7,630;0,24;0,26
7,640;0,24;0,24
7,650;0,24;0,23
7,660;0,24;0,22
7,670;0,25;0,21
7,680;0,25;0,19
7,690;0,25;0,18
7,700;0,25;0,16
7,710;0,25;0,15
7,720;0,26;0,13
7,730;0,26;0,11
7,740;0,26;0,10
7,750;0,26;0,08
7,760;0,26;0,07
7,770;0,26;0,05
7,780;0,26;0,04
7,790;0,26;0,02
7,800;0,26;0,00
7,810;0,26;-0,01
7,820;0,26;-0,03
7,830;0,26;-0,05
7,840;0,26;-0,06
7,850;0,26;-0,08
7,860;0,26;-0,09
7,870;0,26;-0,11
7,880;0,26;-0,13
7,890;0,25;-0,14
7,900;0,25;-0,15
7,910;0,25;-0,17
7,920;0,25;-0,19
7,930;0,25;-0,20
7,940;0,25;-0,21
7,950;0,24;-0,23
7,960;0,24;-0,24
7,970;0,24;-0,25
7,980;0,24;-0,26
7,990;0,23;-0,27
8,000;0,23;-0,28
8,010;0,23;-0,29
8,020;0,22;-0,30
8,030;0,22;-0,31
8,040;0,22;-0,32
8,050;0,22;-0,32
8,060;0,21;-0,33
8,070;0,21;-0,33
8,080;0,21;-0,33
8,090;0,20;-0,32
8,100;0,20;-0,28
8,110;0,20;-0,24
8,120;0,20;-0,24
8,130;0,19;-0,28
8,140;0,19;-0,32
8,150;0,19;-0,32
8,160;0,18;-0,33
8,170;0,18;-0,33
8,180;0,18;-0,33
8,190;0,17;-0,32
8,200;0,17;-0,32
8,210;0,17;-0,25
8,220;0,16;-0,19
8,230;0,16;-0,17
8,240;0,16;-0,21
8,250;0,16;-0,26
8,260;0,16;-0,26
8,270;0,15;-0,25
8,280;0,15;-0,27
8,290;0,15;-0,30
8,300;0,14;-0,30
8,310;0,14;-0,25
8,320;0,14;-0,20
8,330;0,14;-0,18
8,340;0,14;-0,16
8,350;0,13;-0,14
8,360;0,13;-0,12
8,370;0,13;-0,11
8,380;0,13;-0,10
8,390;0,13;-0,08
8,400;0,13;-0,09
8,410;0,13;-0,09
8,420;0,13;-0,08
8,430;0,13;-0,04
8,440;0,13;0,00
8,450;0,13;0,03
8,460;0,13;0,06
8,470;0,13;0,10
8,480;0,13;0,13
8,490;0,13;0,15
8,500;0,13;0,15
8,510;0,13;0,14
8,520;0,14;0,20
8,530;0,14;0,25
8,540;0,14;0,26
8,550;0,14;0,22
8,560;0,14;0,20
8,570;0,15;0,21
8,580;0,15;0,22
8,590;0,15;0,23
8,600;0,15;0,25
8,610;0,16;0,26
8,620;0,16;0,26
8,630;0,16;0,27
8,640;0,16;0,27
8,650;0,17;0,23
8,660;0,17;0,18
8,670;0,17;0,19
8,680;0,17;0,25
8,690;0,18;0,31
8,700;0,18;0,32
8,710;0,18;0,27
8,720;0,19;0,23
8,730;0,19;0,23
8,740;0,19;0,28
8,750;0,19;0,32
8,760;0,20;0,31
8,770;0,20;0,31
8,780;0,20;0,31
8,790;0,20;0,32
8,800;0,21;0,32
8,810;0,21;0,32
8,820;0,21;0,31
8,830;0,22;0,30
8,840;0,22;0,30
8,850;0,22;0,29
8,860;0,23;0,28
8,870;0,23;0,27
8,880;0,23;0,26
8,890;0,23;0,25
8,900;0,24;0,24
8,910;0,24;0,23
8,920;0,24;0,22
8,930;0,24;0,20
8,940;0,25;0,19
8,950;0,25;0,18
8,960;0,25;0,16
8,970;0,25;0,15
8,980;0,25;0,14
8,990;0,25;0,13
9,000;0,25;0,11
9,010;0,26;0,09
9,020;0,26;0,07
9,030;0,26;0,06
9,040;0,26;0,05
9,050;0,26;0,03
9,060;0,26;0,01
9,070;0,26;-0,01
9,080;0,26;-0,02
9,090;0,26;-0,04
9,100;0,26;-0,05
9,110;0,26;-0,06
9,120;0,26;-0,08
9,130;0,25;-0,10
9,140;0,25;-0,12
9,150;0,25;-0,13
9,160;0,25;-0,14
9,170;0,25;-0,15
9,180;0,25;-0,17
9,190;0,25;-0,18
9,200;0,24;-0,19
9,210;0,24;-0,21
9,220;0,24;-0,22
9,230;0,24;-0,23
9,240;0,24;-0,25
9,250;0,23;-0,25
9,260;0,23;-0,26
9,270;0,23;-0,27
9,280;0,23;-0,28
9,290;0,22;-0,29
9,300;0,22;-0,29
9,310;0,22;-0,30
9,320;0,21;-0,31
9,330;0,21;-0,31
9,340;0,21;-0,30
9,350;0,20;-0,31
9,360;0,20;-0,32
9,370;0,20;-0,29
9,380;0,19;-0,24
9,390;0,19;-0,22
9,400;0,19;-0,26
9,410;0,19;-0,31
9,420;0,18;-0,32
9,430;0,18;-0,26
9,440;0,18;-0,20
9,450;0,18;-0,19
9,460;0,18;-0,24
9,470;0,17;-0,29
9,480;0,17;-0,28
9,490;0,17;-0,28
9,500;0,16;-0,27
9,510;0,16;-0,26
9,520;0,16;-0,25
9,530;0,16;-0,24
9,540;0,15;-0,23
9,550;0,15;-0,22
9,560;0,15;-0,21
9,570;0,15;-0,20
9,580;0,15;-0,21
9,590;0,14;-0,23
